n;run;sum;left;right;comparisons;accesses;assignments;branches;bytes;time_us
100;1;47;33;51;100;100;164;100;0;2346
100;2;78;8;44;100;100;168;100;0;49
100;3;65;22;98;100;100;150;100;0;46
100;4;31;59;63;100;100;147;100;0;49
100;5;106;17;89;100;100;183;100;0;62
1000;1;256;163;441;1000;1000;1221;1000;0;429
1000;2;405;214;999;1000;1000;1304;1000;0;390
1000;3;241;299;644;1000;1000;1193;1000;0;354
1000;4;343;8;950;1000;1000;1256;1000;0;325
1000;5;229;162;474;1000;1000;1185;1000;0;263
10000;1;363;3216;4014;10000;10000;10415;10000;0;2373
10000;2;1228;0;8139;10000;10000;10745;10000;0;2341
10000;3;670;1901;9797;10000;10000;10558;10000;0;2270
10000;4;936;397;6035;10000;10000;10654;10000;0;2283
10000;5;536;5428;7112;10000;10000;10612;10000;0;2264
100000;1;2778;48378;89676;100000;100000;102243;100000;0;6558
100000;2;2025;27829;97893;100000;100000;101652;100000;0;4052
100000;3;3763;20257;50537;100000;100000;102497;100000;0;4045
100000;4;3799;15233;59526;100000;100000;102882;100000;0;1445
100000;5;3455;18712;99963;100000;100000;102627;100000;0;965
